name,latitude_deg,longitude_deg,icao_code
Port-Menier Airport,49.836399,-64.288597,CYPN
Peterborough Regional Airport,44.232251,-78.362053,CYPQ
Prince Rupert Airport,54.28609848,-130.4450073,CYPR
Powell River Airport,49.83420181,-124.5,CYPW
Puvirnituq Airport,60.050598,-77.286903,CYPX
Fort Chipewyan Airport,58.76720047,-111.1169968,CYPY
Burns Lake Airport,54.3764,-125.950996,CYPZ
Muskoka Airport,44.975376,-79.306546,CYQA
Quebec Jean Lesage International Airport,46.7911,-71.393303,CYQB
The Pas Airport,53.97140121,-101.0910034,CYQD
Red Deer Regional Airport,52.182201,-113.893997,CYQF
Windsor International Airport,42.2756,-82.955597,CYQG
Watson Lake Airport,60.116839,-128.821993,CYQH
Yarmouth Airport,43.82690048,-66.08809662,CYQI
Kenora Airport,49.78829956,-94.36309814,CYQK
Lethbridge County Airport,49.63029861,-112.8000031,CYQL
Greater Moncton Roméo LeBlanc International Airport,46.113189,-64.67719,CYQM
Nakina Airport,50.18280029,-86.6964035,CYQN
Comox Valley International Airport / CFB Comox,49.7108,-124.887001,CYQQ
Regina International Airport,50.431938,-104.660906,CYQR
St Thomas Municipal Airport,42.77000046,-81.1108017,CYQS
Thunder Bay International Airport,48.371899,-89.323898,CYQT
Grande Prairie Airport,55.17969894,-118.8850021,CYQU
Yorkton Municipal Airport,51.264702,-102.461998,CYQV
North Battleford Airport,52.769409,-108.243742,CYQW
Gander International Airport,48.936258,-54.567719,CYQX
Sydney / J.A. Douglas McCurdy Airport,46.161072,-60.049759,CYQY
Quesnel Airport,53.02610016,-122.5100021,CYQZ
Resolute Bay Airport,74.71690369,-94.9693985,CYRB
Rivière-du-Loup Airport,47.76440048,-69.58470154,CYRI
Roberval Airport,48.519665,-72.265735,CYRJ
Red Lake Airport,51.06689835,-93.79309845,CYRL
Ottawa / Rockcliffe Airport,45.460496,-75.644001,CYRO
Ottawa / Carp Airport,45.31919861,-76.02220154,
Trois-Rivières Airport,46.35279846,-72.67939758,CYRQ
Rankin Inlet Airport,62.81140137,-92.11579895,CYRT
Revelstoke Airport,50.962245,-118.184258,CYRV
Sudbury Airport,46.625,-80.79889679,CYSB
Sherbrooke Airport,45.438599,-71.691399,CYSC
Stony Rapids Airport,59.25030136,-105.8410034,CYSF
Saint-Georges Airport,46.096401,-70.714699,
Smiths Falls-Montague (Russ Beach) Airport,44.945801,-75.940598,CYSH
Saint John Airport,45.31610107,-65.89029694,CYSJ
Saint-Léonard Airport,47.157097,-67.836242,CYSL
Fort Smith Airport,60.020302,-111.961998,CYSM
Niagara District Airport,43.191598,-79.171686,CYSN
Marathon Airport,48.75529861,-86.3443985,CYSP
Summerside Airport,46.440601,-63.833599,CYSU
Pembroke Airport,45.86439896,-77.25170135,CYTA
Alma Airport,48.5089,-71.641899,CYTF
Thompson Airport,55.80110168,-97.86419678,CYTH
CFB Trenton,44.1189003,-77.52809906,CYTR
Timmins/Victor M. Power,48.56969833,-81.37670136,CYTS
Billy Bishop Toronto City Airport,43.627852,-79.39553,CYTZ
Montreal / Pierre Elliott Trudeau International Airport,45.467837,-73.742294,CYUL
Hall Beach Airport,68.7761,-81.2425,CYUX
Rouyn Noranda Airport,48.20610046,-78.83560181,CYUY
Bonaventure Airport,48.071098,-65.460297,CYVB
La Ronge Airport,55.15140152,-105.262001,CYVC
Virden / RJ (Bob) Andrew Field Regional Aerodrome,49.8783,-100.917999,
Vernon Regional Airport,50.246163,-119.330963,CYVK
Val-d'Or Airport,48.05329895,-77.78279877,CYVO
Kuujjuaq Airport,58.09609985,-68.42690277,CYVP
Norman Wells Airport,65.28160095,-126.7979965,CYVQ
Vancouver International Airport,49.193901,-123.183998,CYVR
Wiarton Airport,44.7458,-81.107201,CYVV
Winnipeg / James Armstrong Richardson International Airport,49.90999985,-97.23989868,CYWG
Wabush Airport,52.9219017,-66.86440277,CYWK
Williams Lake Airport,52.18310165,-122.0540009,CYWL
Wrigley Airport,63.20940018,-123.4369965,CYWY
Cranbrook/Canadian Rockies International Airport,49.610802,-115.781998,CYXC
Saskatoon John G. Diefenbaker International Airport,52.170723,-106.700793,CYXE
Medicine Hat Regional Airport,50.018902,-110.721001,CYXH
Fort St John / North Peace Regional Airport,56.238098,-120.739998,CYXJ
Rimouski Airport,48.477644,-68.496323,CYXK
Sioux Lookout Airport,50.11389923,-91.90529633,CYXL
Beaver Creek Airport,62.41030121,-140.8670044,CYXQ
Earlton (Timiskaming Regional) Airport,47.69740065,-79.84734535,CYXR
Prince George (International) Airport,53.884311,-122.666554,CYXS
Northwest Regional Airport Terrace-Kitimat,54.468498,-128.576009,CYXT
London International Airport,43.032845,-81.149003,CYXU
Abbotsford International Airport,49.025299,-122.361,CYXX
Whitehorse / Erik Nielsen International Airport,60.708533,-135.065705,CYXY
Wawa Airport,47.96670151,-84.78669739,CYXZ
North Bay Jack Garland Airport,46.363602,-79.422798,CYYB
Calgary International Airport,51.118822,-114.009933,CYYC
Smithers Airport,54.8246994,-127.1829987,CYYD
Fort Nelson Airport,58.83639908,-122.5970001,CYYE
Penticton Airport,49.46310043,-119.6019974,CYYF
Charlottetown Airport,46.288911,-63.125174,CYYG
Victoria International Airport,48.647201,-123.427792,CYYJ
Lynn Lake Airport,56.86389923,-101.0759964,CYYL
Swift Current Airport,50.29190063,-107.6910019,CYYN
Churchill Airport,58.73920059,-94.06500244,CYYQ
Goose Bay Airport,53.31919861,-60.42580032,CYYR
St. John's International Airport,47.618599,-52.7519,CYYT
Kapuskasing Airport,49.411587,-82.469645,CYYU
Armstrong Airport,50.29029846,-88.90969849,CYYW
Mont Joli Airport,48.60860062,-68.20809937,CYYY
Toronto Pearson International Airport,43.675935,-79.629421,CYYZ
Gore Bay Manitoulin Airport,45.8853,-82.567802,CYZE
Yellowknife International Airport,62.462799,-114.440002,CYZF
Slave Lake Airport,55.292945,-114.777276,CYZH
Sandspit Airport,53.25429916,-131.8139954,CYZP
Chris Hadfield Airport,42.999401,-82.308899,CYZR
Coral Harbour Airport,64.19329834,-83.35939789,CYZS
Port Hardy Airport,50.68059921,-127.3669968,CYZT
Whitecourt Airport,54.143902,-115.787003,CYZU
Sept-Îles Airport,50.22330093,-66.26560211,CYZV
Teslin Airport,60.17279816,-132.7429962,CYZW
CFB Greenwood,44.9844017,-64.91690063,CYZX
Mackenzie Airport,55.297786,-123.133907,
Kostomlaty Airstrip,50.20843,14.92585,
Shuswap Regional Airport,50.682802,-119.228996,CZAM
Boundary Bay Airport,49.074338,-123.006877,CZBB
Bathurst Airport,47.6297,-65.738899,CZBF
Bromont (Roland Désourdy) Airport,45.290798,-72.741402,CZBM
Kelsey Airport,56.03749847,-96.50969696,CZEE
Faro Airport,62.20750046,-133.3760071,CZFA
Grand Forks Airport,49.015598,-118.431,CZGF
Jenpeg Airport,54.51890182,-98.0460968,CZJG
Swan River Airport,52.120602,-101.236,CZJN
Thicket Portage Airport,55.31890106,-97.70780182,CZLQ
Pikwitonei Airport,55.58890152,-97.16419983,CZMN
Masset Airport,54.0275,-132.125,CZMT
Pincher Creek Airport,49.520429,-113.997002,CZPC
Sandy Lake Airport,53.06420135,-93.3443985,CZSJ
Stewart Airport,55.93541045,-129.9824345,CZST
Ignace Municipal Airport,49.428204,-91.720418,CZUC
Blida Airport,36.503601,2.81417,DAAB
Bou Saada Airport,35.3325,4.20639,DAAD
Soummam–Abane Ramdane Airport,36.712547,5.069909,DAAE
Houari Boumediene Airport,36.693886,3.214531,DAAG
Tiska Djanet Airport,24.285448,9.463652,DAAJ
Boufarik Air Base,36.545799,2.87611,DAAK
Illizi Takhamalt Airport,26.723499,8.62265,DAAP
Ain Arnat Airport,36.178488,5.329909,DAAS
Aguenar – Hadj Bey Akhamok Airport,22.810992,5.450832,DAAT
Jijel Ferhat Abbas Airport,36.794125,5.873652,DAAV
Mecheria Airport,33.53590012,-0.242353007,DAAY
Relizane Airport,35.752955,0.625877,DAAZ
Annaba Rabah Bitat Airport,36.826781,7.81334,DABB
Mohamed Boudiaf International Airport,36.276001,6.62039,DABC
Cheikh Larbi Tébessi Airport,35.43159866,8.12071991,DABS
Batna Mostefa Ben Boulaid Airport,35.752102,6.30859,DABT
Hassi R'Mel Airport,32.930401,3.31154,DAFH
Abdelhafid Boussouf Bou Chekif Airport,35.341099,1.46315,DAOB
Tindouf Airport,27.7003994,-8.167099953,DAOF
Chlef Aboubakr Belkaid International Airport,36.216614,1.341114,DAOI
Oran Tafraoui Airport,35.5424,-0.532278,DAOL
Zenata – Messali El Hadj Airport,35.012732,-1.457117,DAON
Oran Es-Sénia (Ahmed Ben Bella) International Airport,35.620648,-0.622486,DAOO
Béchar Boudghene Ben Ali Lotfi Airport,31.64570045,-2.269860029,DAOR
Ghriss Airport,35.207699,0.147142,DAOV
Bordj Badji Mokhtar Airport,21.3778,0.92698,DATM
Touat-Cheikh Sidi Mohamed Belkebir Airport,27.837601,-0.186414,DAUA
Biskra - Mohamed Khider Airport,34.79318,5.738899,DAUB
El Golea Airport,30.580732,2.861595,DAUE
Noumérat - Moufdi Zakaria Airport,32.384102,3.79411,DAUG
Hassi Messaoud-Oued Irara Krim Belkacem Airport,31.673,6.14044,DAUH
In Salah Airport,27.250999,2.51202,DAUI
Touggourt Sidi Madhi Airport,33.067799,6.08867,DAUK
Laghouat - Molay Ahmed Medeghri Airport,33.7644,2.92834,DAUL
Guemar Airport - مطار قمار بالوادي,33.511398,6.77679,DAUO
